"filename", "language", "Markdown", "TOML", "Makefile", "JSON", "Shell Script", "Rust", "Python", "comment", "blank", "total"
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-macros/Cargo.toml", "TOML", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-macros/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 32, 0, 36, 10, 78
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-repl/Cargo.toml", "TOML", 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-repl/src/bin/main.rs", "Rust", 0, 0, 0, 0, 0, 6, 0, 2, 2, 10
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-repl/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 1519, 0, 243, 277, 2039
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-repl/src/project.rs", "Rust", 0, 0, 0, 0, 0, 65, 0, 17, 14, 96
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-repl/src/repl_engine.rs", "Rust", 0, 0, 0, 0, 0, 534, 0, 251, 144, 929
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/Cargo.toml", "TOML", 0, 26, 0, 0, 0, 0, 0, 1, 5, 32
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/README.md", "Markdown", 164, 0, 0, 0, 0, 0, 0, 0, 65, 229
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/src/detector.rs", "Rust", 0, 0, 0, 0, 0, 93, 0, 11, 13, 117
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 436, 0, 46, 78, 560
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/src/main.rs", "Rust", 0, 0, 0, 0, 0, 56, 0, 2, 6, 64
